ID; description; price
1; Enormous Iron Plate; 82.08
2; Fantastic Marble Bottle; 60.37
3; Small Marble Watch; 84.27
4; Small Iron Hat; 34.75
5; Aerodynamic Rubber Pants; 33.75
6; Intelligent Iron Computer; 64.55
7; Sleek Iron Pants; 30.51
8; Awesome Plastic Bag; 84.49
9; Durable Copper Coat; 21.56
10; Lightweight Linen Computer; 27.28
11; Ergonomic Granite Shirt; 93.07
12; Durable Bronze Pants; 7.23
13; Small Rubber Chair; 19.91
14; Intelligent Granite Shirt; 63.79
15; Enormous Leather Bottle; 71.73
16; Lightweight Granite Pants; 80.73
17; Gorgeous Paper Hat; 86.66
18; Sleek Silk Lamp; 21.47
19; Fantastic Linen Bottle; 53.65
20; Enormous Leather Coat; 72.24
21; Small Steel Clock; 91.31
22; Intelligent Copper Table; 42.00
23; Enormous Granite Bag; 80.80
24; Durable Cotton Lamp; 70.92
25; Small Bronze Plate; 40.33
26; Gorgeous Cotton Hat; 16.06
27; Mediocre Bronze Table; 84.47
28; Lightweight Bronze Shirt; 2.30
29; Synergistic Granite Bench; 68.80
30; Aerodynamic Leather Plate; 96.13
31; Intelligent Granite Watch; 68.54
32; Intelligent Plastic Shirt; 26.95
33; Heavy Duty Plastic Coat; 59.94
34; Heavy Duty Plastic Gloves; 82.12
35; Enormous Steel Clock; 1.93
36; Synergistic Iron Gloves; 5.67
37; Fantastic Iron Gloves; 78.87
38; Intelligent Cotton Coat; 77.19
39; Mediocre Paper Keyboard; 84.57
40; Mediocre Wool Pants; 65.93
41; Lightweight Cotton Bottle; 96.55
42; Ergonomic Paper Gloves; 91.62
43; Synergistic Wooden Watch; 19.01
44; Lightweight Steel Chair; 20.81
45; Practical Iron Knife; 33.25
46; Practical Wooden Bottle; 3.86
47; Practical Wool Car; 21.12
48; Awesome Wool Watch; 69.09
49; Durable Linen Pants; 66.11
50; Gorgeous Bronze Hat; 39.04
51; Durable Concrete Shoes; 66.68
52; Awesome Cotton Bag; 63.37
53; Mediocre Linen Clock; 37.70
54; Sleek Copper Computer; 1.43
55; Lightweight Rubber Coat; 7.02
56; Synergistic Wool Chair; 46.64
57; Rustic Paper Clock; 33.76
58; Ergonomic Wool Knife; 70.69
59; Mediocre Wool Pants; 15.18
60; Incredible Paper Bottle; 75.45
61; Mediocre Wooden Pants; 1.82
62; Lightweight Wool Bench; 1.09
63; Lightweight Iron Bag; 95.80
64; Gorgeous Concrete Wallet; 21.31
65; Ergonomic Cotton Table; 84.02
66; Heavy Duty Rubber Knife; 22.94
67; Durable Granite Shirt; 16.84
68; Mediocre Cotton Wallet; 48.92
69; Sleek Iron Car; 85.88
70; Practical Marble Shoes; 48.84
71; Fantastic Concrete Knife; 91.27
72; Lightweight Granite Plate; 40.00
73; Synergistic Linen Plate; 91.41
74; Sleek Aluminum Coat; 10.81
75; Gorgeous Paper Knife; 52.33
76; Rustic Bronze Car; 70.23
77; Fantastic Linen Car; 25.59
78; Lightweight Iron Bench; 64.95
79; Fantastic Bronze Clock; 59.92
80; Awesome Rubber Car; 62.14
81; Durable Wooden Pants; 18.75
82; Enormous Silk Hat; 76.94
83; Enormous Linen Watch; 38.22
84; Mediocre Steel Plate; 62.73
85; Practical Linen Keyboard; 21.01
86; Mediocre Marble Clock; 64.84
87; Durable Wooden Plate; 50.35
88; Heavy Duty Steel Pants; 16.39
89; Synergistic Bronze Knife; 73.46
90; Rustic Leather Computer; 7.46
91; Fantastic Plastic Keyboard; 44.98
92; Synergistic Paper Car; 84.20
93; Synergistic Cotton Clock; 61.89
94; Gorgeous Iron Shoes; 0.73
95; Small Concrete Chair; 76.98
96; Intelligent Granite Hat; 62.93
97; Awesome Aluminum Watch; 46.34
98; Gorgeous Silk Hat; 45.95
99; Heavy Duty Plastic Bench; 82.14
100; Heavy Duty Bronze Chair; 72.24
